Module	Beads_AgaroseAlginate_0_B	Beads_AgaroseAlginate_0_C	Beads_AgaroseAlginate_0_A	Beads_AgaroseAlginate_12_A	Beads_AgaroseAlginate_12_B	Beads_AgaroseAlginate_12_C	Beads_AgaroseAlginate_24_B	Beads_AgaroseAlginate_24_C	Beads_AgaroseAlginate_24_A	Beads_AgaroseAlginate_36_B	Beads_AgaroseAlginate_36_C	Beads_AgaroseAlginate_36_A	Beads_AgaroseAlginate_48_B	Beads_AgaroseAlginate_48_C	Beads_AgaroseAlginate_48_A	Beads_AgaroseAlginate_60_B	Beads_AgaroseAlginate_60_A	Beads_AgaroseAlginate_72_A	Beads_AgaroseAlginate_72_B	Beads_AgaroseAlginate_72_C	Beads_AgaroseAlginate_84_A	Beads_AgaroseAlginate_84_B	Beads_AgaroseAlginate_84_C	Beads_AgaroseAlginate_108_B	Beads_AgaroseAlginate_108_C	Beads_AgaroseAlginate_108_A	Beads_AgaroseAlginate_132_B	Beads_AgaroseAlginate_132_C	Beads_AgaroseAlginate_132_A	Beads_AgaroseAlginate_156_B	Beads_AgaroseAlginate_156_C	Beads_AgaroseAlginate_156_A	Beads_AgaroseAlginate_204_A	Beads_AgaroseAlginate_204_B	Beads_AgaroseAlginate_204_C
mod_10	28	0	0	41	0	22	0	2	3	28	8	7	27	39	96	24	17	0	0	33	0	1	0	10	0	0	0	0	0	0	20	0	0	0	0
mod_108	12588	5076	6094	11314	9842	16461	4158	13131	6635	4786	12501	6851	3936	7290	22274	9820	6635	3641	2888	13463	8285	7462	11068	3228	256	4955	8771	12711	7315	6308	4198	3712	13379	14239	7435
mod_11	21	0	0	12	15	3	63	135	38	348	612	523	300	623	2670	3055	4113	573	346	2568	1867	359	2449	45	39	103	475	294	258	137	45	50	14	36	13
mod_118	107	0	0	190	53	81	0	506	143	439	494	527	0	511	1211	921	1560	0	0	372	521	0	504	15	0	0	1142	497	1170	565	488	642	1343	1332	585
mod_12	181	0	0	418	567	119	493	6573	2438	4925	7651	7011	1821	3106	17759	7346	12487	1228	594	2496	3978	927	1895	239	38	425	1560	355	3333	719	199	900	1506	417	0
mod_125	0	0	0	20	0	0	0	215	103	34	275	313	133	10	216	240	420	0	0	71	219	76	0	8	0	0	0	0	359	0	0	0	82	0	0
mod_126	0	0	0	0	0	10	0	224	19	22	162	32	0	99	33	0	21	8	0	984	35	298	1769	144	129	24	1116	485	295	215	110	93	132	43	907
mod_14	317	63	32	2336	1379	154	3497	30837	11589	21636	41495	26367	7741	23350	57481	48172	50149	5404	7682	33296	36700	12180	30346	5380	1343	8484	52907	14254	106861	29754	10309	39728	78504	24881	10212
mod_145	0	0	0	10	61	0	23	152	115	134	400	451	90	142	475	318	781	40	25	296	345	0	435	55	44	82	1976	988	1834	1487	968	1169	3076	1635	1181
mod_16	0	67	24	2726	1023	281	1793	11575	6035	8204	13101	13053	2644	5414	38203	17404	36167	2279	1827	7491	15660	3518	6233	951	190	1917	9363	2070	25812	4585	1036	11520	17196	3881	1073
mod_169	0	12	0	22	37	15	1	62	3	4	203	18	1	18	3	9	55	8	2	165	22	39	174	85	4	11	498	461	202	281	351	62	379	533	112
mod_17	2556	795	399	50527	52703	20699	28602	231396	93720	111630	224301	169749	27942	61947	280630	71267	121140	8294	8608	81875	31951	24664	50635	3934	826	2741	25500	6829	17068	11123	4112	5997	9806	7339	13842
mod_180	0	0	0	44	16	0	0	860	463	630	764	2032	187	479	1806	1668	2853	56	138	230	1221	143	467	37	0	0	1739	473	2753	1278	500	1507	2769	1501	401
mod_2	851	47	149	315	190	114	247	2091	742	1728	3515	2192	1321	2003	9192	7105	12672	1369	1440	15980	9844	4327	24721	5377	2525	2549	101445	63013	57308	90867	45929	39970	193900	99001	58767
mod_26	107	18	0	351	423	37	606	2047	1412	2225	2575	2674	425	519	6347	1577	3953	160	99	147	5880	85	60	0	7	262	351	53	2827	179	46	634	749	132	76
mod_267	493	11	0	167	0	98	35	592	217	176	486	283	131	303	841	687	971	0	97	160	575	21	158	0	0	9	413	223	544	176	197	282	468	520	250
mod_293	33	0	0	10	44	0	8	12	65	81	60	51	19	65	259	7	28	5	13	5	0	0	4	14	0	0	0	38	0	15	0	21	0	0	0
mod_349	0	0	0	0	1	0	0	3	0	1	22	0	0	9	8	5	4	0	0	1	3	2	2	0	0	0	13	2	7	3	3	5	8	9	2
mod_374	0	0	0	7	0	0	0	169	58	169	405	368	173	372	2121	1411	2326	296	140	911	1063	375	847	95	38	105	371	344	400	251	120	123	293	27	66
mod_45	0	0	0	12	2	0	30	63	33	23	106	220	88	256	1321	1386	1299	363	405	2721	1576	648	3001	295	111	382	2039	805	3847	633	309	722	1273	182	40
mod_450	0	0	0	3	33	0	42	277	78	201	302	215	58	128	440	159	302	0	1	227	6	0	154	24	0	21	71	4	1	4	42	18	17	65	0
mod_50	131	65	66	511	589	299	780	5455	1929	2204	5945	4042	1371	2794	8021	3913	5680	778	1871	45103	3789	11312	67618	11123	4837	1199	122765	48407	30692	61316	21005	13875	43075	31623	16030
mod_51	13	14	11	11	0	0	16	165	153	450	601	1023	388	591	5807	3319	21654	9537	678	3181	40779	1095	3344	837	624	2883	7230	3023	19031	3136	1415	5343	9292	1526	936
mod_60	0	0	0	0	0	0	0	164	3	93	124	471	0	0	417	555	838	5	40	0	560	0	208	10	0	14	901	352	2060	378	100	958	2257	817	275
mod_65	0	0	0	5	37	0	0	19	0	25	0	16	66	0	235	143	345	0	47	57	226	83	0	0	0	0	272	60	562	245	159	379	898	505	396
mod_7	0	0	14	17	7	26	0	0	0	0	41	97	0	64	394	0	308	20	21	0	7	0	10	8	0	0	331	46	548	380	197	341	797	1038	300
mod_80	0	0	0	0	24	0	34	78	6	12	46	0	0	5	40	0	13	0	0	71	4	0	0	21	0	28	488	91	201	187	141	159	393	418	215
mod_81	0	0	0	0	0	0	19	31	0	5	77	96	31	39	265	374	380	78	0	59	521	0	8	0	0	122	54	0	1089	0	0	302	454	0	0
mod_93	0	0	0	0	0	0	0	14	0	4	2	0	17	2	0	25	212	28	35	0	132	60	67	66	0	52	398	89	271	256	45	131	87	0	54
