Module	Beads_Carrageenan_0_C	Beads_Carrageenan_0_B	Beads_Carrageenan_0_A	Beads_Carrageenan_12_A	Beads_Carrageenan_12_C	Beads_Carrageenan_12_B	Beads_Carrageenan_24_B	Beads_Carrageenan_24_A	Beads_Carrageenan_36_B	Beads_Carrageenan_36_A	Beads_Carrageenan_48_C	Beads_Carrageenan_48_B	Beads_Carrageenan_48_A	Beads_Carrageenan_60_C	Beads_Carrageenan_60_B	Beads_Carrageenan_60_A	Beads_Carrageenan_72_A	Beads_Carrageenan_72_C	Beads_Carrageenan_72_B	Beads_Carrageenan_84_A	Beads_Carrageenan_84_C	Beads_Carrageenan_84_B	Beads_Carrageenan_108_C	Beads_Carrageenan_108_B	Beads_Carrageenan_108_A	Beads_Carrageenan_132_C	Beads_Carrageenan_132_B	Beads_Carrageenan_132_A	Beads_Carrageenan_156_C	Beads_Carrageenan_156_B	Beads_Carrageenan_156_A	Beads_Carrageenan_204_A	Beads_Carrageenan_204_C	Beads_Carrageenan_204_B
mod_1	0	519	80	59	13	1426	514	701	210	226	479	436	182	876	440	1299	5862	821	1436	5717	7995	1969	11826	11798	1990	9170	30839	22546	10675	76966	90195	59772	37197	114646
mod_101	0	20	55	0	0	136	135	58	19	16	3	13	2	122	24	38	45	27	31	2	30	39	3	6	0	9	22	3	14	35	34	8	10	64
mod_105	14	313	0	0	0	0	35	46	0	12	0	3	16	34	10	47	457	15	0	301	192	46	303	127	53	357	1398	755	374	2945	2541	2494	1586	7646
mod_127	0	33	0	45	0	184	111	110	13	15	10	6	10	0	27	29	320	28	0	73	72	0	474	374	92	430	967	862	469	2786	3278	2024	1841	5282
mod_135	0	0	63	8	44	0	722	337	0	189	119	25	94	427	18	525	1493	140	229	961	624	0	720	386	266	460	963	1839	439	2038	5427	1736	830	1805
mod_139	86	99	281	1470	8211	6160	28516	25577	15525	20954	10453	8710	7063	48386	8977	20380	40193	8906	10679	29412	55939	18750	40641	92485	10769	14318	69112	68111	11513	76212	251992	113467	20829	67627
mod_142	0	0	0	0	0	0	2	0	42	0	0	9	2	0	7	107	316	48	39	200	131	46	227	192	77	51	125	97	17	61	83	0	0	14
mod_167	0	0	0	3	0	28	62	0	0	0	0	7	0	0	31	14	0	0	25	0	0	0	183	32	19	105	218	278	139	700	1022	587	360	1089
mod_180	66	0	95	69	602	0	1814	127	33	188	917	9	35	8416	38	56	87	286	0	31	717	0	655	0	8	347	0	3	263	75	198	149	12802	109
mod_19	6532	21829	16801	31187	211871	150413	443069	378738	106104	316478	55227	45933	55761	358877	66016	63675	74559	44383	46057	44844	68053	28698	14835	18987	43162	5538	16978	65458	5069	23058	133212	25882	10431	29309
mod_21	0	0	0	5	0	22	30	101	143	76	162	134	104	1636	133	447	1529	420	440	830	1285	419	291	474	131	14	116	218	32	67	470	39	4	14
mod_218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	246	0	15	196	37	18	0	75	0	38	367	566	128	805	2703	1395	386	1065
mod_256	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	131	0	0	87	0	14	0	125	49	0	198	208	0	410	512	271	171	577
mod_276	0	0	0	0	0	12	3	1	0	0	3	1	0	1	2	3	8	3	1	5	5	2	4	3	3	6	9	12	2	15	52	12	11	22
mod_280	0	79	0	0	4	26	23	13	0	0	0	0	0	87	0	34	156	4	0	43	26	10	46	56	0	7	6	86	0	63	448	167	65	80
mod_29	0	54	0	0	0	36	79	33	32	0	18	92	10	404	58	62	417	37	89	252	393	257	612	530	6	448	1167	925	367	3123	3730	1597	863	3546
mod_299	0	0	0	24	0	0	0	0	0	0	0	22	0	58	0	0	0	25	0	0	0	0	120	147	20	9	257	59	12	421	623	554	348	1067
mod_334	0	453	0	12	164	446	1293	724	540	546	346	377	215	831	88	842	2394	327	415	1757	1676	380	2030	1426	729	2043	3538	4466	1971	7070	16185	9109	4363	9594
mod_335	0	0	0	4	0	13	98	4	64	119	167	85	132	1261	88	534	1151	389	397	898	1473	439	1033	1573	246	278	1385	442	107	934	1094	222	123	387
mod_35	0	0	13	53	0	540	1207	935	365	551	539	491	552	5379	795	2135	7263	2110	2330	5918	9106	2707	4282	5809	2856	3012	7924	18319	2573	13447	66047	16847	4691	13822
mod_368	0	83	14	0	0	691	195	488	91	0	76	97	0	181	0	206	560	13	192	273	442	130	373	371	74	247	502	445	86	1151	1066	475	423	1392
mod_54	0	106	55	133	1121	3504	7666	9319	2432	6278	1737	1294	2365	4852	364	7800	15629	536	773	10883	2540	486	3580	753	1848	1144	1833	10613	1073	2853	35453	12296	1360	3065
mod_55	0	0	0	0	0	310	72	0	112	64	174	169	33	2573	250	477	1678	621	768	1182	3383	1796	2617	5228	1035	815	5986	4083	497	6367	10940	4209	1223	3670
mod_6	0	0	0	0	21	0	23	33	14	13	5	31	14	22	0	26	20	22	6	52	325	53	860	444	20	581	1501	425	490	3643	2498	2449	2329	6163
mod_60	0	0	0	0	0	0	0	1	0	15	0	2	1	8	0	2	4	3	0	3	5	2	6	0	0	3	7	3	7	3	5	18	2	11
mod_76	0	40	0	0	0	114	7	0	0	0	0	0	17	0	0	48	0	0	35	31	44	0	0	0	9	159	188	119	0	289	481	454	277	1097
